2026-03-07T12:47:58.651114 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:02.339254 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:08.922736 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:08.930735 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:22.120363 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:22.131367 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:24.067165 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:24.076341 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:29.527554 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:29.543558 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:32.013600 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:32.022966 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:39.509093 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:39.518095 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:45.421919 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:45.429922 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:51.144586 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:51.152652 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:54.570932 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:54.579089 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:58.498687 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-03-07T12:48:58.506426 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
